"Date","r_Shanghai","r_Hang_Seng","r_Nikkei_225","r_KOSPI","r_STI"
2003-01-07,-0.196494659620949,-0.140384610567246,-0.654355313542965,-2.20039054063452,-0.971951085622358
2003-01-08,2.95939322616148,0.370309322421214,-1.61523923016915,-0.0736241520464809,1.02450482302716
2003-01-09,1.82785063291711,-0.132206703750448,-0.233548710889764,-3.32604832910848,0.20769218048402
2003-01-10,-0.900000324195371,0.475231227480677,-0.323896848422756,-0.324128791193079,0.90073905392174
2003-01-14,5.75181929466799,0.766585660508845,0.970547771428976,3.39360323764391,3.94442337114658
2003-01-15,-0.473560474583401,0.784760354381042,0.683843616279667,-0.271115590377491,-1.058119836829
2003-01-16,1.74505538413605,-1.32807028460871,-0.0299635561781031,0.0616817549510706,-0.513351861597222
2003-01-17,-0.46823956278752,-1.32909484306634,0.937379330566301,-1.9033372307554,-0.924142248037185
2003-01-21,-1.62195015209505,-0.480841835048729,0.210703901141684,-0.567234369999614,-0.110535669984824
2003-01-22,0.386908715438583,-0.0855256744149102,-1.12636456500947,-1.65216646935606,0.278666822618945
2003-01-23,-0.680833229489597,0.255001577199288,2.06742696870368,0.431204431955923,-0.345340085814261
2003-01-24,1.94224606347584,-1.3032271103592,-0.676501518246653,-2.55155141828585,-0.467961698074593
2003-01-27,1.14883138197941,-1.72644268201463,-1.4091595213916,-2.71779359501068,-1.99241333081153
2003-01-28,0.298985807349172,0.289192744397582,-0.98139902913541,1.251639512535,0.631989343965422
2003-01-29,-0.0553250359893731,-0.9135926789126,-2.30556702883487,-2.90752039948812,-2.78840713554951
2003-02-10,-1.31814873741734,-0.0936505538884802,1.82985491640597,-1.05119010352608,-1.55635533440002
2003-02-13,1.61973177644334,-0.637961216326666,1.34310187947388,-0.274086838484422,-1.12895446945656
2003-02-14,0.43843282658047,0.308350797426904,1.18210233731126,-0.0747234831581345,0.405223604217486
2003-02-18,-0.962959074079617,2.10010401273735,-0.102903792892839,4.78758420457277,1.58380432043987
2003-02-19,0.953031052229836,0.324892926722065,-0.167286402065159,-0.435115443850975,1.66482724875179
2003-02-20,-0.0867466423520646,-0.3948329376529,-0.317611534811135,0.775904550800455,-0.237448455134093
2003-02-21,-2.04935627950258,-1.49798899489539,-1.60078363819576,-0.315935123970768,0.199433735376964
