"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2026","64,999.41","59,379.12","66,428.81","59,263.50","","9.64%"
"01/04/2026","59,284.92","51,959.47","60,903.95","51,902.84","","16.10%"
"01/03/2026","51,063.72","57,976.20","58,365.21","50,558.91","","-13.23%"
"01/02/2026","58,850.27","53,575.37","59,332.43","52,655.18","","10.37%"
"01/01/2026","53,322.85","51,010.28","54,487.32","50,995.67","","5.93%"
"01/12/2025","50,339.48","49,316.30","51,127.69","48,643.78","","0.17%"
"01/11/2025","50,253.91","52,294.31","52,636.87","48,235.30","","-4.12%"
"01/10/2025","52,411.34","44,831.95","52,411.34","44,357.65","","16.64%"
"01/09/2025","44,932.63","42,362.71","45,852.75","41,835.17","","5.18%"
"01/08/2025","42,718.47","41,029.84","43,876.42","39,850.52","","4.01%"
"01/07/2025","41,069.82","40,340.64","42,065.83","39,288.90","","1.44%"
"01/06/2025","40,487.39","37,651.18","40,852.54","37,320.72","","6.64%"
"01/05/2025","37,965.10","36,197.04","38,494.06","36,040.05","","5.33%"
"01/04/2025","36,045.38","35,961.19","36,075.26","30,792.74","","1.20%"
"01/03/2025","35,617.56","37,617.50","38,220.69","35,541.72","","-4.14%"
"01/02/2025","37,155.50","38,932.66","39,581.47","36,840.12","","-6.11%"
"01/01/2025","39,572.49","39,945.42","40,288.80","38,055.68","","-0.81%"
"01/12/2024","39,894.54","38,216.95","40,398.23","37,958.55","","4.41%"
"01/11/2024","38,208.03","38,504.35","39,884.01","37,801.62","","-2.23%"
"01/10/2024","39,081.25","38,232.47","40,257.34","37,651.07","","3.06%"
"01/09/2024","37,919.55","39,025.31","39,829.56","35,247.87","","-1.88%"
"01/08/2024","38,647.75","38,781.56","38,781.56","31,156.12","","-1.16%"
"01/07/2024","39,101.82","39,839.82","42,426.77","37,611.19","","-1.22%"
"01/06/2024","39,583.08","38,734.95","39,788.63","37,950.20","","2.85%"
"01/05/2024","38,487.90","38,107.38","39,437.16","37,617.00","","0.21%"
"01/04/2024","38,405.66","40,277.45","40,697.22","36,733.06","","-4.86%"
"01/03/2024","40,369.44","39,254.69","41,087.75","38,271.38","","3.07%"
"01/02/2024","39,166.19","36,008.56","39,426.29","35,854.63","","7.94%"
"01/01/2024","36,286.71","33,193.05","36,984.51","32,693.18","","8.43%"
"01/12/2023","33,464.17","33,537.44","33,824.06","32,205.38","","-0.07%"
"01/11/2023","33,486.89","31,311.22","33,853.46","31,301.51","","8.52%"
"01/10/2023","30,858.85","32,101.97","32,533.08","30,487.67","","-3.14%"
"01/09/2023","31,857.62","32,521.15","33,634.31","31,674.42","","-2.34%"
"01/08/2023","32,619.34","33,292.31","33,488.77","31,275.25","","-1.67%"
"01/07/2023","33,172.22","33,517.60","33,762.81","31,791.71","","-0.05%"
"01/06/2023","33,189.04","30,886.01","33,772.89","30,853.44","","7.45%"
"01/05/2023","30,887.88","29,058.05","31,560.43","28,931.81","","7.04%"
"01/04/2023","28,856.44","28,203.35","28,879.24","27,427.66","","2.91%"
"01/03/2023","28,041.48","27,363.57","28,734.79","26,632.92","","2.17%"
"01/02/2023","27,445.56","27,483.41","27,821.22","27,046.08","","0.43%"
"01/01/2023","27,327.11","25,834.93","27,502.15","25,661.89","","4.72%"
"01/12/2022","26,094.50","28,273.13","28,423.46","25,953.92","","-6.70%"
"01/11/2022","27,968.99","27,614.64","28,502.29","27,032.02","","1.38%"
"01/10/2022","27,587.46","25,778.95","27,602.99","25,621.96","","6.36%"
"01/09/2022","25,937.21","27,797.00","28,659.76","25,805.59","","-7.67%"
"01/08/2022","28,091.53","27,813.82","29,222.77","27,530.60","","1.04%"
"01/07/2022","27,801.64","26,460.71","28,015.68","25,841.75","","5.34%"
"01/06/2022","26,393.04","27,295.63","28,389.75","25,520.23","","-3.25%"
"01/05/2022","27,279.80","26,851.10","27,463.33","25,688.11","","1.61%"
"01/04/2022","26,847.90","27,624.11","27,965.94","26,051.04","","-3.50%"
"01/03/2022","27,821.43","26,836.74","28,338.81","24,681.74","","4.88%"
"01/02/2022","26,526.82","27,167.14","27,880.70","25,775.64","","-1.76%"
"01/01/2022","27,001.98","29,098.41","29,388.16","26,044.52","","-6.22%"
"01/12/2021","28,791.71","27,866.73","29,121.01","27,588.61","","3.49%"
"01/11/2021","27,821.76","29,330.68","29,960.93","27,819.14","","-3.71%"
"01/10/2021","28,892.69","29,235.11","29,489.11","27,293.62","","-1.90%"
"01/09/2021","29,452.66","28,179.04","30,795.78","28,179.04","","4.85%"
"01/08/2021","28,089.54","27,493.32","28,279.80","26,954.81","","2.95%"
"01/07/2021","27,283.59","28,832.41","28,852.31","27,272.49","","-5.24%"
"01/06/2021","28,791.53","28,998.65","29,480.85","27,795.86","","-0.24%"
"01/05/2021","28,860.08","29,024.01","29,685.41","27,385.03","","0.16%"
"01/04/2021","28,812.63","29,441.91","30,208.89","28,419.84","","-1.25%"
"01/03/2021","29,178.80","29,419.45","30,485.00","28,308.57","","0.73%"
"01/02/2021","28,966.01","27,649.07","30,714.52","27,649.07","","4.71%"
"01/01/2021","27,663.39","27,575.57","28,979.53","27,002.18","","0.80%"
"01/12/2020","27,444.17","26,624.20","27,602.52","26,327.08","","3.82%"
