"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2026","8,123.62","8,263.85","8,434.40","8,079.77","493.4K","4.63%"
"11/06/2026","7,763.95","7,509.62","7,800.62","7,394.46","478.7K","0.43%"
"10/06/2026","7,730.82","7,899.77","7,996.68","7,541.11","460.9K","-4.52%"
"09/06/2026","8,096.93","7,697.76","8,119.09","7,598.87","448.5K","8.18%"
"08/06/2026","7,484.41","8,048.09","8,048.09","7,442.73","452.2K","-8.29%"
"05/06/2026","8,160.59","8,323.20","8,382.16","8,038.10","463.2K","-5.54%"
"04/06/2026","8,639.41","8,623.82","8,759.05","8,577.30","437.9K","-1.84%"
"02/06/2026","8,801.49","8,883.19","8,933.62","8,503.12","632.6K","0.15%"
"01/06/2026","8,788.38","8,485.67","8,874.16","8,485.67","636.2K","3.68%"
"29/05/2026","8,476.15","8,384.31","8,476.15","8,273.74","735.1K","3.55%"
"28/05/2026","8,185.29","8,165.73","8,253.60","7,841.01","669K","-0.53%"
"27/05/2026","8,228.70","8,242.12","8,457.09","8,220.04","619.5K","2.25%"
"26/05/2026","8,047.51","8,070.91","8,131.15","8,008.19","519.6K","2.55%"
"22/05/2026","7,847.71","7,873.12","7,886.64","7,780.13","435.5K","0.41%"
"21/05/2026","7,815.59","7,486.37","7,819.23","7,486.37","621.1K","8.42%"
"20/05/2026","7,208.95","7,324.52","7,324.52","7,053.84","492.5K","-0.86%"
"19/05/2026","7,271.66","7,425.66","7,446.57","7,141.91","533.5K","-3.25%"
"18/05/2026","7,516.04","7,443.29","7,636.20","7,142.71","566.6K","0.31%"
"15/05/2026","7,493.18","7,951.75","8,046.78","7,371.68","885.6K","-6.12%"
"14/05/2026","7,981.41","7,873.91","7,991.04","7,842.72","849.9K","1.75%"
"13/05/2026","7,844.01","7,513.65","7,855.47","7,402.36","738.7K","2.63%"
"12/05/2026","7,643.15","7,953.41","7,999.67","7,421.71","1.02M","-2.29%"
"11/05/2026","7,822.24","7,775.31","7,899.32","7,713.49","731.3K","4.32%"
"08/05/2026","7,498.00","7,353.94","7,511.01","7,318.96","523.1K","0.11%"
"07/05/2026","7,490.05","7,499.07","7,531.88","7,257.89","767.5K","1.43%"
"06/05/2026","7,384.56","7,093.01","7,426.60","7,093.01","995.7K","6.45%"
"04/05/2026","6,936.99","6,782.93","6,937.00","6,741.63","873K","5.12%"
"30/04/2026","6,598.87","6,739.39","6,750.27","6,597.83","685.5K","-1.38%"
"29/04/2026","6,690.90","6,619.00","6,702.38","6,596.03","717.9K","0.75%"
"28/04/2026","6,641.02","6,646.80","6,712.73","6,621.73","1.14M","0.39%"
"27/04/2026","6,615.03","6,533.60","6,657.22","6,529.19","842.7K","2.15%"
"24/04/2026","6,475.63","6,496.10","6,516.54","6,403.74","878.2K","-0.00%"
"23/04/2026","6,475.81","6,488.83","6,557.76","6,309.10","1.04M","0.90%"
"22/04/2026","6,417.93","6,387.57","6,423.29","6,318.51","900.1K","0.46%"
"21/04/2026","6,388.47","6,302.54","6,388.47","6,302.54","792K","2.72%"
"20/04/2026","6,219.09","6,213.92","6,278.36","6,176.75","692.9K","0.44%"
"17/04/2026","6,191.92","6,227.33","6,230.32","6,159.88","689.7K","-0.55%"
"16/04/2026","6,226.05","6,149.49","6,231.03","6,126.06","925.7K","2.21%"
"15/04/2026","6,091.39","6,141.60","6,183.21","6,064.23","923.8K","2.07%"
"14/04/2026","5,967.75","5,960.00","6,026.52","5,938.33","889.5K","2.74%"
"13/04/2026","5,808.62","5,737.28","5,827.73","5,730.23","1.08M","-0.86%"
"10/04/2026","5,858.87","5,876.12","5,918.59","5,850.83","1M","1.40%"
"09/04/2026","5,778.01","5,826.45","5,862.41","5,757.49","1.03M","-1.61%"
"08/04/2026","5,872.34","5,804.70","5,919.60","5,774.00","932.6K","6.87%"
"07/04/2026","5,494.78","5,552.19","5,594.90","5,424.46","990.4K","0.82%"
"06/04/2026","5,450.33","5,423.35","5,505.61","5,404.91","1.11M","1.36%"
"03/04/2026","5,377.30","5,375.50","5,419.45","5,316.42","1.19M","2.74%"
"02/04/2026","5,234.05","5,551.69","5,574.62","5,170.27","1.43M","-4.47%"
"01/04/2026","5,478.70","5,330.04","5,512.33","5,272.45","959K","8.44%"
"31/03/2026","5,052.46","5,143.75","5,233.99","5,042.99","1.16M","-4.26%"
"30/03/2026","5,277.30","5,181.80","5,297.35","5,151.22","727.4K","-2.97%"
"27/03/2026","5,438.87","5,300.61","5,462.51","5,220.10","900.1K","-0.40%"
"26/03/2026","5,460.46","5,594.06","5,598.37","5,448.12","925.1K","-3.22%"
"25/03/2026","5,642.21","5,680.33","5,740.97","5,630.07","763.2K","1.59%"
"24/03/2026","5,553.92","5,638.20","5,643.00","5,395.17","1.17M","2.74%"
"23/03/2026","5,405.75","5,580.15","5,580.15","5,397.94","1.13M","-6.49%"
"20/03/2026","5,781.20","5,813.35","5,833.68","5,764.64","1.49M","0.31%"
"19/03/2026","5,763.22","5,761.40","5,863.39","5,738.95","1.18M","-2.73%"
"18/03/2026","5,925.03","5,767.10","5,934.35","5,766.14","1.14M","5.04%"
"17/03/2026","5,640.48","5,711.80","5,717.13","5,632.86","1.14M","1.63%"
"16/03/2026","5,549.85","5,510.82","5,561.42","5,448.75","1.07M","1.14%"
"13/03/2026","5,487.24","5,412.39","5,537.59","5,392.52","907.7K","-1.72%"
"12/03/2026","5,583.25","5,567.65","5,629.07","5,527.47","801.3K","-0.48%"
"11/03/2026","5,609.95","5,658.72","5,746.36","5,559.69","1.05M","1.40%"
"10/03/2026","5,532.59","5,523.21","5,595.88","5,427.88","923.2K","5.35%"
"09/03/2026","5,251.87","5,265.37","5,327.42","5,096.16","1.03M","-5.96%"
"06/03/2026","5,584.87","5,491.02","5,609.98","5,381.27","1.22M","0.02%"
"05/03/2026","5,583.90","5,250.92","5,715.30","5,248.13","1.66M","9.63%"
"04/03/2026","5,093.54","5,592.59","5,672.12","5,059.45","1.64M","-12.06%"
"03/03/2026","5,791.91","6,165.15","6,180.45","5,791.65","1.23M","-7.24%"
"27/02/2026","6,244.13","6,197.49","6,347.41","6,153.87","1.17M","-1.00%"
"26/02/2026","6,307.27","6,121.03","6,313.27","6,107.41","1.41M","3.67%"
"25/02/2026","6,083.86","6,022.70","6,144.71","5,984.28","1.42M","1.91%"
"24/02/2026","5,969.64","5,853.48","5,969.64","5,775.61","1.6M","2.11%"
"23/02/2026","5,846.09","5,903.11","5,931.86","5,792.57","1.48M","0.65%"
"20/02/2026","5,808.53","5,696.89","5,809.91","5,684.58","1.75M","2.31%"
"19/02/2026","5,677.25","5,642.09","5,681.65","5,614.97","1.19M","3.09%"
"13/02/2026","5,507.01","5,513.71","5,583.74","5,480.92","1.29M","-0.28%"
"12/02/2026","5,522.27","5,425.39","5,522.27","5,399.52","750.6K","3.13%"
"11/02/2026","5,354.49","5,293.75","5,374.23","5,257.53","753.8K","1.00%"
"10/02/2026","5,301.69","5,350.21","5,363.62","5,286.67","712.3K","0.07%"
"09/02/2026","5,298.04","5,299.10","5,322.35","5,265.08","617.7K","4.10%"
"06/02/2026","5,089.14","5,013.15","5,120.77","4,899.30","745.8K","-1.44%"
"05/02/2026","5,163.57","5,251.03","5,304.40","5,142.20","911.9K","-3.86%"
"04/02/2026","5,371.10","5,260.71","5,376.92","5,243.11","789.9K","1.57%"
"03/02/2026","5,288.08","5,114.81","5,288.08","5,101.31","672.6K","6.84%"
"02/02/2026","4,949.67","5,122.62","5,196.71","4,933.58","572.5K","-5.26%"
"30/01/2026","5,224.36","5,210.35","5,321.68","5,199.78","862.5K","0.06%"
"29/01/2026","5,221.25","5,243.42","5,252.61","5,073.12","699.7K","0.98%"
"28/01/2026","5,170.81","5,145.39","5,183.44","5,124.80","593.1K","1.69%"
"27/01/2026","5,084.85","4,932.89","5,084.85","4,890.72","476.2K","2.73%"
"26/01/2026","4,949.59","4,997.54","5,023.76","4,940.78","446.9K","-0.81%"
"23/01/2026","4,990.07","4,984.08","5,021.13","4,926.22","612.6K","0.76%"
"22/01/2026","4,952.53","4,987.06","5,019.54","4,934.17","568.6K","0.87%"
"21/01/2026","4,909.93","4,808.94","4,910.54","4,807.13","600.1K","0.49%"
"20/01/2026","4,885.75","4,900.28","4,935.48","4,823.88","667.7K","-0.39%"
"19/01/2026","4,904.66","4,829.40","4,917.37","4,827.95","570.8K","1.32%"
"16/01/2026","4,840.74","4,820.66","4,855.61","4,797.75","720.9K","0.90%"
"15/01/2026","4,797.55","4,710.28","4,797.55","4,705.44","545.2K","1.58%"
"14/01/2026","4,723.10","4,685.11","4,723.10","4,669.32","550.4K","0.65%"
"13/01/2026","4,692.64","4,662.44","4,693.07","4,641.58","429.2K","1.47%"
"12/01/2026","4,624.79","4,639.89","4,652.54","4,567.55","394.8K","0.84%"
"09/01/2026","4,586.32","4,530.03","4,590.03","4,500.48","399.2K","0.75%"
"08/01/2026","4,552.37","4,531.46","4,622.32","4,527.50","440.1K","0.03%"
"07/01/2026","4,551.06","4,566.34","4,611.72","4,488.20","553.7K","0.57%"
"06/01/2026","4,525.48","4,446.08","4,525.48","4,395.00","498.4K","1.52%"
"05/01/2026","4,457.52","4,385.92","4,457.52","4,381.93","513.9K","3.43%"
"02/01/2026","4,309.63","4,224.53","4,313.55","4,216.68","406.3K","2.27%"
"30/12/2025","4,214.17","4,193.75","4,226.36","4,186.95","408.2K","-0.15%"
"29/12/2025","4,220.56","4,146.48","4,220.56","4,146.48","502.4K","2.20%"
