"Date","Price","Open","High","Low","Vol.","Change %"
"15/06/2026","7,554.29","7,516.75","7,577.92","7,516.75","3.39B","1.65%"
"12/06/2026","7,431.46","7,410.85","7,456.40","7,363.01","4.95B","0.50%"
"11/06/2026","7,394.30","7,287.67","7,412.68","7,257.33","5.66B","1.75%"
"10/06/2026","7,266.99","7,350.54","7,396.56","7,265.93","5.25B","-1.62%"
"09/06/2026","7,386.65","7,438.66","7,483.15","7,237.85","6.01B","-0.26%"
"08/06/2026","7,405.73","7,440.57","7,466.81","7,395.13","4.9B","0.30%"
"05/06/2026","7,383.74","7,537.36","7,541.81","7,368.63","5.59B","-2.64%"
"04/06/2026","7,584.31","7,516.54","7,598.19","7,516.54","5.4B","0.41%"
"03/06/2026","7,553.68","7,605.31","7,605.35","7,551.22","5.75B","-0.74%"
"02/06/2026","7,609.78","7,595.40","7,620.90","7,582.99","5.9B","0.13%"
"01/06/2026","7,599.96","7,582.29","7,617.66","7,562.61","6.58B","0.26%"
"29/05/2026","7,580.06","7,579.33","7,599.38","7,563.55","7.86B","0.22%"
"28/05/2026","7,563.63","7,519.82","7,568.72","7,508.04","5.49B","0.58%"
"27/05/2026","7,520.36","7,526.01","7,530.72","7,499.72","5.52B","0.02%"
"26/05/2026","7,519.12","7,511.79","7,539.09","7,501.10","5.5B","0.61%"
"22/05/2026","7,473.47","7,468.82","7,506.32","7,463.29","4.95B","0.37%"
"21/05/2026","7,445.72","7,410.78","7,465.96","7,389.48","5.44B","0.17%"
"20/05/2026","7,432.97","7,369.19","7,435.69","7,357.46","5.38B","1.08%"
"19/05/2026","7,353.61","7,375.75","7,395.32","7,333.68","5.44B","-0.67%"
"18/05/2026","7,403.05","7,415.07","7,434.06","7,353.17","5.49B","-0.07%"
"15/05/2026","7,408.50","7,445.11","7,454.85","7,397.50","5.58B","-1.24%"
"14/05/2026","7,501.24","7,454.40","7,517.12","7,454.40","5.27B","0.77%"
"13/05/2026","7,444.25","7,409.12","7,460.04","7,375.13","5.72B","0.58%"
"12/05/2026","7,400.96","7,390.63","7,409.57","7,338.54","5.62B","-0.16%"
"11/05/2026","7,412.84","7,385.31","7,428.97","7,384.20","5.82B","0.19%"
"08/05/2026","7,398.93","7,362.97","7,401.50","7,362.97","5.3B","0.84%"
"07/05/2026","7,337.11","7,376.78","7,385.02","7,321.25","6.24B","-0.38%"
"06/05/2026","7,365.12","7,294.14","7,369.22","7,294.14","6.58B","1.46%"
"05/05/2026","7,259.22","7,233.62","7,273.26","7,233.62","5.28B","0.81%"
"04/05/2026","7,200.75","7,228.38","7,244.54","7,174.12","5.22B","-0.41%"
"01/05/2026","7,230.12","7,234.54","7,272.52","7,229.32","4.85B","0.29%"
"30/04/2026","7,209.01","7,161.75","7,219.83","7,126.15","5.72B","1.02%"
"29/04/2026","7,135.95","7,131.61","7,145.63","7,107.86","5.12B","-0.04%"
"28/04/2026","7,138.80","7,133.74","7,152.52","7,115.17","4.9B","-0.49%"
"27/04/2026","7,173.91","7,152.72","7,178.74","7,146.72","4.78B","0.12%"
"24/04/2026","7,165.08","7,136.48","7,168.59","7,112.82","4.61B","0.80%"
"23/04/2026","7,108.40","7,118.80","7,147.78","7,046.55","5.31B","-0.41%"
"22/04/2026","7,137.90","7,102.91","7,138.64","7,102.91","4.92B","1.05%"
"21/04/2026","7,064.01","7,122.64","7,137.27","7,050.20","5.16B","-0.63%"
"20/04/2026","7,109.14","7,117.05","7,122.65","7,084.41","4.66B","-0.24%"
"17/04/2026","7,126.06","7,074.55","7,147.52","7,074.55","6.15B","1.20%"
"16/04/2026","7,041.28","7,037.78","7,051.23","7,008.52","5.17B","0.26%"
"15/04/2026","7,022.95","6,978.17","7,026.24","6,967.13","5.28B","0.80%"
"14/04/2026","6,967.38","6,910.20","6,969.42","6,905.17","5.03B","1.18%"
"13/04/2026","6,886.24","6,806.47","6,887.00","6,790.02","4.79B","1.02%"
"10/04/2026","6,816.89","6,839.24","6,845.77","6,808.46","4.39B","-0.11%"
"09/04/2026","6,824.66","6,783.69","6,835.31","6,761.55","4.91B","0.62%"
"08/04/2026","6,782.81","6,754.36","6,793.50","6,740.28","5.9B","2.51%"
"07/04/2026","6,616.85","6,601.93","6,618.26","6,534.55","4.56B","0.08%"
"06/04/2026","6,611.83","6,587.66","6,618.13","6,579.72","3.91B","0.44%"
"02/04/2026","6,582.69","6,512.61","6,601.91","6,474.94","4.74B","0.11%"
"01/04/2026","6,575.32","6,556.56","6,609.67","6,554.29","5.64B","0.72%"
