month,corr_SH_Hang_Seng,corr_SH_Nikkei,corr_SH_KOSPI,corr_SH_STI,corr_SH_SP500,DCEF,RIPO,NIPO,NA,TURN,CCI,ISI,StdISI
2007-08,0.384476002016187,0.226171163046279,0.269242951835406,0.300923273673468,0.0777838425677201,-0.1793,3.3464,21,297.47,0.3396,96.7,218.96,5.93
2007-09,0.404471509521344,0.237763077129709,0.275075383817373,0.279104512248262,0.0599641119031157,-0.206,2.1936,13,242.16,0.4569,97.3,181.4,4.61
2007-10,0.389940804354581,0.220986883546096,0.269171430197608,0.249534128873782,0.0994711237582311,-0.2692,2.6432,3,196.73,0.3633,96.9,150.09,3.5
2007-11,0.431917515998335,0.298461743176756,0.288712269318447,0.290687126575551,0.116645799674496,-0.2343,1.8218,13,131.97,0.261,96.5,110.41,1.74
2007-12,0.44349269746247,0.316168409118367,0.288630450066701,0.320071415030662,0.109799583451939,-0.195,1.7235,20,81.4,0.1515,96.0,79.43,0.62
2008-01,0.52631656925167,0.375967604108684,0.363820657146783,0.392914170648104,0.119881696045906,-0.1742,2.2012,8,84.37,0.1907,96.9,79.06,1.06
2008-02,0.602450436443487,0.473070183620477,0.472848356121895,0.462738622903043,0.0941897779342557,-0.1854,1.7895,10,43.64,0.2966,95.6,53.01,0.58
2008-03,0.565062785815113,0.412115619564343,0.429551464538273,0.394363548599081,0.0600090262239141,-0.1481,1.8893,4,62.07,0.2079,94.3,63.16,0.54
2008-04,0.528380153738296,0.375134659118385,0.380234129002958,0.311908679312692,0.0050143944269685,-0.1268,1.1194,5,51.1,0.2281,94.5,56.07,0.0
2008-05,0.514449261465991,0.294500128737041,0.311475171793776,0.239254136325332,0.0059136430801753,-0.1642,0.8603,19,35.19,0.2291,94.0,48.82,-0.33
2008-06,0.55339742593127,0.283060101777518,0.338698875429317,0.330230383718597,0.0738006826325104,-0.2173,0.4541,12,32.32,0.2636,94.3,45.27,-0.74
2008-07,0.547850272741785,0.316920756205138,0.354198376123012,0.373699062426127,0.0624555033472507,-0.2057,1.0022,7,30.97,0.174,94.1,43.44,-0.81
2008-08,0.530272757208602,0.265774749578864,0.322404888481276,0.352148826933099,0.0108395403620926,-0.2431,0.711,6,23.5,0.2335,94.5,38.41,-0.98
2008-09,0.523982822265945,0.28347065427427,0.321775535013314,0.346901271168119,0.0338239694341811,-0.2264,1.2577,5,28.72,0.1368,93.7,41.55,-0.92
2008-10,0.576322558220667,0.37175316132056,0.381983137965121,0.409675969715029,0.146772646191063,-0.2448,0.0,0,23.17,0.1646,93.4,36.22,-1.88
