month,DCEF,RIPO,NIPO,NA,TURN,CCI,sen
2009-07,-0.2205,1.1198,5,78.81,0.3708,101.0,-0.6272236292103828
2009-08,-0.226,0.6284,11,72.4,0.455,102.1,-0.5563557304922594
2009-09,-0.2552,0.4778,12,48.76,0.356,102.7,-0.650956721968832
2009-10,-0.2304,0.9928,32,28.81,0.3233,102.8,0.0087459150082425
2009-11,-0.2099,0.5586,11,50.71,0.2817,103.2,-0.4735393317739464
2009-12,-0.2141,0.616,28,52.49,0.3673,103.3,-0.0315123079422813
2010-01,-0.193,0.3669,37,38.58,0.255,103.9,0.2796181262926652
2010-02,-0.1573,0.1595,24,26.19,0.2704,104.7,-0.0113758530931755
2010-03,-0.1522,0.7038,33,60.4,0.1849,104.2,0.4392852116236171
2010-04,-0.143,0.698,30,42.7,0.2114,107.9,0.4340785013945907
2010-05,-0.1505,0.1173,26,38.17,0.2763,106.6,0.1497948975751652
2010-06,-0.134,0.2134,28,34.85,0.1974,108.0,0.3340080880887688
2010-07,-0.1313,0.2327,25,35.48,0.1729,108.5,0.2877967086421532
2010-08,-0.15,0.7496,31,38.11,0.1927,107.8,0.4371316522037996
2010-09,-0.1715,0.5021,29,34.01,0.2604,107.3,0.2285168475525904
2010-10,-0.1333,0.2877,21,39.26,0.2679,104.1,0.0180246467231359
2010-11,-0.1368,0.4948,29,66.66,0.4172,103.8,0.2654249278604799
2010-12,-0.1226,0.3754,37,43.68,0.3615,102.9,0.4491829679667702
2011-01,-0.1072,0.0547,31,26.35,0.1975,100.4,0.2327052800027825
2011-02,-0.0632,0.1902,28,32.34,0.156,99.9,0.3254597144052529
2011-03,-0.086,0.1509,31,61.1,0.2193,99.6,0.3791739886702255
2011-04,-0.0793,0.0164,24,31.62,0.2343,107.6,0.3381480080368909
2011-05,-0.0679,0.0638,26,28.66,0.2025,106.6,0.4105964900209645
2011-06,-0.0571,0.148,28,31.13,0.1392,105.8,0.5195827090386643
2011-07,-0.0814,0.7579,20,26.51,0.1306,108.1,0.3519904840505855
2011-08,-0.093,0.4846,25,30.68,0.1747,105.6,0.3404490971393399
2011-09,-0.0895,0.1276,21,26.14,0.1428,105.0,0.178126275922054
2011-10,-0.0847,0.3309,10,17.43,0.1005,103.4,-0.1444674249442885
2011-11,-0.0983,0.3551,20,24.97,0.1247,100.5,0.0190200993295196
2011-12,-0.1011,0.0656,18,22.91,0.1421,97.0,-0.1986757084338563
2012-01,-0.1297,0.018,10,10.45,0.0919,100.5,-0.4305335951220248
2012-02,-0.117,0.4648,13,26.83,0.1134,103.9,-0.1114251926958265
2012-03,-0.1266,0.2428,27,32.29,0.1548,105.0,0.2532944722999268
2012-04,-0.1188,0.1289,14,10.9,0.1686,100.0,-0.3144121536490877
2012-05,-0.1153,0.2799,19,14.5,0.1523,103.0,-0.0387086072989806
2012-06,-0.1188,0.0568,22,15.83,0.1496,104.2,0.0472199526282352
2012-07,-0.114,0.1758,18,12.06,0.1161,99.3,-0.1784808555193098
2012-08,-0.0981,0.3597,15,13.59,0.1159,98.2,-0.2170825466505217
2012-09,-0.094,0.2274,12,13.6,0.1105,99.4,-0.2657459688762785
2012-10,-0.0996,0.6109,4,9.19,0.1227,100.8,-0.4355556430956008
2012-11,-0.1034,6.2674,1,11.78,0.1063,106.1,0.3331593679881554
2012-12,-0.0992,0.0,0,14.36,0.0852,105.1,-0.4623885738938587
2013-01,-0.1099,0.0,0,15.22,0.1532,103.7,-0.5631157458594432
2013-02,-0.1121,0.0,0,12.65,0.1985,104.5,-0.5715315406328885
2013-03,-0.1099,0.0,0,24.09,0.18,108.2,-0.4138007661646983
2013-04,-0.1238,0.0,0,9.97,0.1686,102.6,-0.6617449946601079
2013-05,-0.1118,0.0,0,14.11,0.1349,103.7,-0.565135297331373
2013-06,-0.1042,0.0,0,12.27,0.1873,99.0,-0.7073395565666251
2013-07,-0.114,0.0,0,12.23,0.1603,97.0,-0.7880566750999091
2013-08,-0.1207,0.0,0,11.72,0.1815,97.2,-0.8134442903048266
2013-09,-0.0903,-0.0521,1,13.13,0.1957,97.8,-0.6779467251120798
2013-10,-0.1112,0.0,0,12.25,0.2241,99.8,-0.7205237154063072
2013-11,-0.0932,0.0,0,13.41,0.2158,102.9,-0.5633858302776302
2013-12,-0.1139,0.6058,1,13.27,0.1677,98.9,-0.6288275589279262
2014-01,-0.1018,0.4294,43,11.12,0.1556,102.3,0.6606882317557206
2014-02,-0.0954,0.4111,5,17.0,0.153,101.1,-0.3993540865609477
2014-03,-0.0816,0.0,0,21.69,0.2485,103.1,-0.5094737077087066
2014-04,-0.0728,0.0,0,11.28,0.182,107.9,-0.3409909991053659
2014-05,-0.0868,0.0,0,9.58,0.1519,104.8,-0.4716115046857473
2014-06,-0.0897,0.4401,4,14.98,0.1255,102.3,-0.3643758660731745
2014-07,-0.0915,0.4399,9,17.66,0.1446,104.7,-0.1587941509717445
2014-08,-0.0833,0.4402,9,21.46,0.1992,104.4,-0.1521845231405081
2014-09,-0.1105,0.4399,11,29.18,0.2387,103.8,-0.1953281874146294
2014-10,-0.0974,0.44,15,27.53,0.2855,105.4,-0.0170279893975052
