dependent,term,coef,hac_se,t,p_value,stars,n_obs,r2,adj_r2,hac_lags
corr_SH_Hang_Seng,const,0.1592876650883221,0.09173288907627064,1.7364291770630218,0.08248797697925975,*,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Hang_Seng,DCEF,0.2908083602782426,0.10932633271065442,2.660002883732528,0.007813998246588249,***,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Hang_Seng,RIPO,-0.014762116541239554,0.011845974361901082,-1.246171576119339,0.21270141181067187,,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Hang_Seng,NIPO,-0.00010017949775984608,0.0005905177720468063,-0.16964688024987254,0.865287851780121,,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Hang_Seng,NA,0.00021897034894129142,0.0001952756315199594,1.121339858111841,0.262143225599164,,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Hang_Seng,TURN,-0.008473410968085902,0.07087258457861935,-0.11955837392505843,0.9048329959160903,,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Hang_Seng,CCI,0.003630734036030814,0.000859933694853735,4.222109283260916,2.4202670612077594e-05,***,248,0.4079938447593028,0.3932551023051776,4
corr_SH_Nikkei,const,-0.003260057302593984,0.07346812518050705,-0.04437376473925538,0.9646064737492107,,248,0.23791733462906695,0.21894432221319315,4
corr_SH_Nikkei,DCEF,0.1341206151520669,0.046962498949545045,2.8559088241058395,0.004291383492689664,***,248,0.23791733462906695,0.21894432221319315,4
corr_SH_Nikkei,RIPO,-0.0009620607032019391,0.010868845675567673,-0.08851544422648096,0.9294670098016933,,248,0.23791733462906695,0.21894432221319315,4
corr_SH_Nikkei,NIPO,-0.0008970117459374642,0.00046999047243253145,-1.9085743191660827,0.056317027415594974,*,248,0.23791733462906695,0.21894432221319315,4
corr_SH_Nikkei,NA,0.00016432660013326883,0.0001637286144352593,1.003652298042539,0.31554623716420355,,248,0.23791733462906695,0.21894432221319315,4
corr_SH_Nikkei,TURN,-0.021267204971482895,0.05178021545391221,-0.4107206736212232,0.6812773659481521,,248,0.23791733462906695,0.21894432221319315,4
corr_SH_Nikkei,CCI,0.0030053089031915337,0.0006728015169825951,4.466858096084345,7.937674328897551e-06,***,248,0.23791733462906695,0.21894432221319315,4
corr_SH_KOSPI,const,0.08011462469525461,0.08183751917025686,0.9789473765520935,0.32760598156492493,,248,0.2157280545904976,0.1962026119661947,4
corr_SH_KOSPI,DCEF,0.10307938943671009,0.05423099674115507,1.9007467247690235,0.05733519521572745,*,248,0.2157280545904976,0.1962026119661947,4
corr_SH_KOSPI,RIPO,-0.001206006836066345,0.010854642087576992,-0.11110516830827664,0.9115329504021433,,248,0.2157280545904976,0.1962026119661947,4
corr_SH_KOSPI,NIPO,-0.0001094779421221409,0.0004788516095928158,-0.2286260292937802,0.8191595918836461,,248,0.2157280545904976,0.1962026119661947,4
corr_SH_KOSPI,NA,0.00023669547273766356,0.00017791096819622231,1.3304152921960741,0.183381478849493,,248,0.2157280545904976,0.1962026119661947,4
corr_SH_KOSPI,TURN,-0.15370757679425223,0.06559043069704143,-2.3434451513852537,0.019106571315811487,**,248,0.2157280545904976,0.1962026119661947,4
corr_SH_KOSPI,CCI,0.002606860490991403,0.0007661769928920011,3.402425960549381,0.000667904496013725,***,248,0.2157280545904976,0.1962026119661947,4
corr_SH_STI,const,-0.01619029831136095,0.08316708908502185,-0.19467193681396713,0.8456497827473028,,248,0.15801503851443144,0.1370527573156206,4
corr_SH_STI,DCEF,0.03878109104088261,0.07573912804832121,0.5120350872819721,0.6086264533168952,,248,0.15801503851443144,0.1370527573156206,4
corr_SH_STI,RIPO,0.0008745055633949133,0.012586943013983687,0.06947720049446207,0.9446097801614347,,248,0.15801503851443144,0.1370527573156206,4
corr_SH_STI,NIPO,-0.0011151115770889333,0.0006281729591711767,-1.7751664741510564,0.07587040361524983,*,248,0.15801503851443144,0.1370527573156206,4
corr_SH_STI,NA,0.00015363753134973838,0.0002409564215824629,0.6376154258132471,0.5237240516398587,,248,0.15801503851443144,0.1370527573156206,4
corr_SH_STI,TURN,-0.00581436139519842,0.06637868875390589,-0.08759379711091819,0.9301995324183662,,248,0.15801503851443144,0.1370527573156206,4
corr_SH_STI,CCI,0.003297299969957118,0.00071201033964903,4.6309720327691455,3.6395303662952218e-06,***,248,0.15801503851443144,0.1370527573156206,4
corr_SH_SP500,const,-0.1308623646601971,0.06985682271349734,-1.873293968677917,0.06102780228429265,*,248,0.1607782783147801,0.13988479146784516,4
corr_SH_SP500,DCEF,-0.013220383086263644,0.05517024415350258,-0.23962886677608305,0.8106179842198765,,248,0.1607782783147801,0.13988479146784516,4
corr_SH_SP500,RIPO,0.0030747018274083202,0.009046064104041553,0.3398938800394551,0.7339364455870461,,248,0.1607782783147801,0.13988479146784516,4
corr_SH_SP500,NIPO,3.8442610689087484e-05,0.000506147169209991,0.0759514485660165,0.9394577249950974,,248,0.1607782783147801,0.13988479146784516,4
corr_SH_SP500,NA,0.00013671179497623445,0.000222965047967756,0.6131534795355232,0.5397748614866615,,248,0.1607782783147801,0.13988479146784516,4
corr_SH_SP500,TURN,0.042736914786045785,0.0459350376753554,0.9303772664363038,0.35217578487576046,,248,0.1607782783147801,0.13988479146784516,4
corr_SH_SP500,CCI,0.0022483179723041084,0.0006403451703168703,3.511103193284872,0.00044625113274367336,***,248,0.1607782783147801,0.13988479146784516,4
