dependent,term,coef,hac_se,t,p_value,stars,n_obs,r2,adj_r2,hac_lags
corr_SH_Hang_Seng,const,0.4974906416384149,0.012556858467520957,39.61903711228436,0.0,***,248,0.07784395148802026,0.07409534966480091,4
corr_SH_Hang_Seng,StdISI,0.01863873738253436,0.011393790491360389,1.6358680104454812,0.10186721433657307,,248,0.07784395148802026,0.07409534966480091,4
corr_SH_Nikkei,const,0.278127620662276,0.009416072143874335,29.537541388020593,9.493106691980073e-192,***,248,0.03372799077993405,0.029800055783104518,4
corr_SH_Nikkei,StdISI,0.00963156506935198,0.006144075369734646,1.5676183135377055,0.11697023555946366,,248,0.03372799077993405,0.029800055783104518,4
corr_SH_KOSPI,const,0.30628887349854034,0.010838400582222256,28.25960077549932,1.0848051527702829e-175,***,248,0.01244826752864836,0.008433829591772857,4
corr_SH_KOSPI,StdISI,0.006581737710919556,0.006836771203727426,0.9626967927976258,0.33569970669353927,,248,0.01244826752864836,0.008433829591772857,4
corr_SH_STI,const,0.3079998729880702,0.01134455973154831,27.149565983732913,2.5620660924894104e-162,***,248,0.013945858000242395,0.009937507829511638,4
corr_SH_STI,StdISI,0.007312622343283958,0.007466153063803337,0.9794364354430782,0.3273643816373605,,248,0.013945858000242395,0.009937507829511638,4
corr_SH_SP500,const,0.12361682193692196,0.008012746439362417,15.427521995411885,1.0689638039872732e-53,***,248,0.06495202573705194,0.061151017711592814,4
corr_SH_SP500,StdISI,0.012066561726581323,0.005709130521654818,2.1135550642628806,0.034553287261260016,**,248,0.06495202573705194,0.061151017711592814,4
